#{"t_start": 1775974238.6233823, "env_id": "None"}
r,l,t
-49.035539,3,1.547121
-32.712411,4,1.548127
-27.830821,5,1.550122
-24.377255,2,1.551122
-31.040315,7,1.553119
-29.013308,3,1.554127
-41.799735,3,1.555119
-35.384812,3,1.556029
-43.210695,5,1.55812
-35.831181,4,1.559029
-28.780619,3,1.560049
-31.529974,3,1.561047
-34.302385,3,1.562046
-47.453965,5,1.564046
-23.573955,2,1.564046
-26.228658,4,1.567043
-38.059214,3,1.568039
-23.144793,4,1.569046
-39.640487,4,1.571049
-34.164009,4,1.572047
-23.493421,3,1.573047
-41.413546,3,1.574563
-29.984725,5,1.576583
-47.190358,3,1.578583
-27.773399,2,1.579582
-36.583182,4,1.582576
-42.910494,3,1.583575
-34.446922,5,1.585575
-35.700362,3,1.586575
-33.424494,3,1.587576
-39.752845,3,1.588576
-48.906117,3,1.589575
-39.773168,4,1.590575
-31.664555,6,1.592575
-23.30387,2,1.592575
-26.202241,3,1.593575
-24.39815,3,1.594575
-24.099514,3,1.595576
-49.789068,5,1.597575
-41.731711,3,1.598575
-34.99999,3,1.599576
-36.859908,3,1.600575
-22.143761,2,1.600575
-32.464035,3,1.601575
-32.674454,3,1.602576
-28.634359,3,1.603576
-37.488013,3,1.604576
-44.7107,3,1.605575
-81.646454,7,1.607575
-26.591758,3,1.608575
-36.573334,3,1.609575
-48.516617,4,1.610575
-36.607648,3,1.611575
-43.222863,3,1.612575
-43.093305,3,1.613575
-29.356647,2,1.614575
-68.225922,4,1.615576
-29.981451,3,1.616673
-49.685458,6,1.617683
-44.184367,3,1.618683
-35.879311,5,1.620677
-47.035373,4,1.62268
-27.875941,2,1.62268
-26.938693,8,1.625675
-23.784536,2,1.625675
-42.13138,3,1.626676
-22.830297,2,1.627688
-37.247749,3,1.628675
-42.975082,3,1.629689
-39.97581,5,1.631676
-25.758115,3,1.632675
-39.264189,4,1.633675
-37.8609,3,1.634675
-31.465228,3,1.635675
-57.703379,5,1.637677
-56.986549,5,1.639678
-63.48221,7,1.641679
-31.19375,3,1.642675
-33.663672,4,1.643675
-51.364393,3,1.644584
-26.207927,3,1.645584
-30.593096,3,1.646582
-49.91453,3,1.647582
-48.492076,4,1.649582
-48.263613,3,1.650584
-22.986513,3,1.651582
-39.621212,3,1.652582
-50.588615,3,1.653582
-43.207553,3,1.654583
-32.66852,4,1.655582
-38.778805,3,1.656582
-47.029441,3,1.657582
-30.772935,3,1.658582
-36.516374,4,1.660598
-42.529325,4,1.661599
-19.418803,11,1.665603
-41.193703,3,1.666601
-45.487222,3,1.667597
-40.64934,3,1.668597
-30.046049,2,1.669597
-33.913907,4,1.670598
-55.135227,6,1.672597
-40.354715,3,1.673597
-49.199815,3,1.674597
-35.767548,3,1.675121
-30.40702,4,1.677139
-41.756656,4,1.678138
-47.454852,3,1.679138
-27.229787,2,1.680139
-55.349033,8,1.682138
-35.411755,3,1.683139
-34.692751,3,1.684139
-22.013492,2,1.685138
-34.200716,3,1.686139
-36.514876,3,1.687139
-34.953138,3,1.688138
-23.963125,2,1.689138
-22.883615,2,1.690139
-31.382714,4,1.694138
-32.840677,3,1.695139
-21.467082,2,1.695139
-45.102334,4,1.696138
-29.435347,2,1.697138
-40.0498,3,1.698138
-29.132958,3,1.699139
-32.052404,2,1.700138
-24.479704,4,1.701138
-42.274271,3,1.702138
-42.71061,3,1.703138
-57.896582,6,1.70515
-74.034736,8,1.708138
-21.617205,2,1.709132
-50.824924,3,1.710132
-34.159072,3,1.711132
-41.002904,3,1.712132
-25.514396,3,1.712132
-38.598277,3,1.713131
-21.738902,2,1.714132
-28.122281,4,1.716132
-32.678542,3,1.717131
-22.996003,2,1.717131
-25.706487,4,1.719132
-47.088425,3,1.719132
-31.611563,5,1.721133
-25.861939,3,1.722132
-22.351948,2,1.723132
-31.967705,5,1.725132
-39.29281,3,1.726132
-58.40816,10,1.728132
-35.717574,3,1.729132
-50.770961,3,1.730132
-22.83592,2,1.731132
-39.933347,3,1.732131
-22.055859,3,1.733132
-27.183751,3,1.734132
-37.53637,4,1.736132
-23.426716,2,1.736132
-44.976599,3,1.737132
-46.882765,8,1.740133
-23.858022,2,1.741132
-22.708836,3,1.742132
-44.329136,3,1.743132
-46.957778,3,1.743132
-28.388581,3,1.744131
